fico_range_low,annual_inc,dti,loan_amnt,revol_bal,loan_status
665,54000.0,38.98,8000,8013,0
720,120000.0,14.82,24000,29746,1
680,110000.0,11.06,15000,6596,1
700,38000.0,23.82,15950,8992,1
720,85000.0,22.01,35000,28242,1
670,90000.0,37.43,25000,25282,1
665,56400.0,20.03,15000,12852,0
800,22000.0,8.78,10000,6664,1
725,108909.0,10.87,20000,19097,0
680,52300.0,6.42,9000,5750,1
685,62000.0,20.13,29750,34744,0
695,71000.0,13.78,12000,5740,1
665,54000.0,27.16,6000,9174,1
715,60000.0,20.98,17600,14831,1
715,63000.0,11.71,12600,1176,1
740,200000.0,25.24,35000,26202,1
725,67000.0,28.19,10000,7933,1
670,55000.0,16.65,12000,5308,1
715,36000.0,9.3,18000,8394,1
695,56000.0,34.29,10800,17809,1
680,45000.0,6.4,8000,7649,1
685,60000.0,9.18,20000,21676,1
710,25000.0,18.39,2000,1457,1
660,60000.0,13.78,20000,6001,0
755,65000.0,13.42,10000,11816,1
710,90000.0,23.77,30000,14894,1
715,91653.0,15.19,12000,46855,1
680,65000.0,24.69,12000,22532,1
665,32000.0,23.44,4500,5148,0
680,45000.0,3.81,12000,4251,1
705,125000.0,17.14,28000,3167,0
675,33000.0,25.89,5000,9515,0
660,200000.0,7.15,20000,5617,1
695,107462.0,12.05,30000,9514,1
735,45000.0,0.67,15200,1253,1
720,15000.0,13.28,4800,4790,1
685,42000.0,39.06,17625,6588,0
715,58196.0,25.06,11775,16157,1
670,50000.0,12.7,22400,15555,0
700,45000.0,16.51,15000,10228,1
735,55000.0,26.01,20000,17356,1
745,121000.0,14.04,3500,7776,1
730,90000.0,14.71,4000,10464,1
710,42500.0,34.28,3600,13273,1
660,59000.0,14.04,20050,560,1
660,120000.0,18.15,30000,16752,0
680,95000.0,17.95,21000,4159,1
685,50000.0,22.52,6000,14033,1
660,42500.0,22.93,6000,3818,0
680,45000.0,24.27,18000,5185,0
665,150000.0,10.99,9925,2240,1
735,52000.0,9.55,20000,1034,1
675,130000.0,4.42,16000,13458,1
680,40000.0,17.85,11000,9239,1
785,100000.0,28.18,15000,4560,1
690,25000.0,5.76,9500,4272,1
685,92000.0,15.34,15875,34077,0
670,90000.0,5.88,30000,15271,1
690,120000.0,12.84,2000,12808,1
675,45000.0,19.04,3000,1547,1
665,86000.0,3.42,10000,3521,1
695,100000.0,19.58,35000,20571,1
680,82600.0,30.95,24275,36904,1
680,38525.0,21.0,1200,9237,1
665,39500.0,30.54,3500,1740,1
675,60250.0,10.9,16000,21646,1
660,165000.0,9.84,24000,15053,1
690,120000.0,8.8,35000,13879,1
675,87200.0,9.44,20000,10499,1
705,46000.0,12.65,16450,5811,1
805,102000.0,3.88,20000,14050,1
660,104000.0,0.4,15000,1190,0
705,85000.0,6.28,6000,4931,1
670,48000.0,17.38,14000,12178,1
765,105000.0,22.86,14575,2101,0
785,40000.0,22.26,14000,9592,0
660,24226.8,14.32,4200,6131,1
665,90000.0,4.8,6900,3401,1
695,48000.0,14.75,7200,11844,1
725,43560.0,10.24,5000,7670,1
685,72000.0,26.65,16000,8330,1
695,70000.0,18.17,3000,5479,1
770,15084.0,27.53,4200,3333,1
710,79000.0,5.95,19200,20280,1
670,21900.0,10.79,7875,5223,1
705,48000.0,28.95,5000,35717,1
660,60000.0,12.76,11200,16053,1
680,44000.0,21.41,7400,7028,1
680,119500.0,19.81,17000,4022,1
675,50000.0,5.38,19050,8207,1
705,70000.0,17.35,20000,16966,1
685,220000.0,14.54,28000,28621,1
695,50500.0,29.9,1500,25606,1
700,75000.0,20.69,14000,869,1
660,47000.0,22.37,9000,2162,1
660,45000.0,14.69,13500,15773,1
725,40000.0,13.17,6500,5243,1
665,112000.0,13.84,9600,8016,1
675,60000.0,11.66,6500,4390,1
700,162000.0,13.86,19200,53645,1
690,90000.0,25.31,25000,28906,1
705,65000.0,25.9,18000,35629,1
690,80000.0,33.62,7000,28739,1
815,172000.0,6.28,20000,3413,1
725,68000.0,16.98,30000,5954,1
660,58000.0,4.51,8000,4630,1
670,140000.0,21.99,7200,22816,1
670,60000.0,28.87,12000,6622,1
660,79900.0,21.94,7625,3738,1
705,46225.0,24.17,8000,4620,1
715,40800.0,16.59,10000,283,1
685,120000.0,3.26,20000,15607,1
725,90000.0,21.47,12000,30008,1
690,220000.0,5.91,8000,9249,1
680,25000.0,35.0,4000,5195,1
665,73000.0,3.76,9225,2745,0
660,162000.0,12.39,12000,8148,1
670,35000.0,28.53,17000,13420,0
700,435000.0,10.49,30000,110113,1
695,60000.0,24.42,15000,2860,1
665,47000.0,24.9,15000,15183,1
665,33000.0,27.71,6000,7720,0
680,130000.0,18.21,18000,15247,1
670,44000.0,30.28,14150,10187,1
660,55000.0,23.04,13000,12476,0
780,63000.0,13.71,9000,7111,1
680,90000.0,7.09,16000,12070,1
690,57000.0,20.15,9300,3531,1
710,115500.0,17.07,32500,38574,1
700,73500.0,22.88,8000,10162,1
780,59039.0,21.08,12000,72,0
705,53000.0,24.28,10000,2019,1
660,43000.0,11.89,8000,4409,0
685,85000.0,24.35,32300,23909,1
710,200000.0,0.47,40000,1051,1
690,83000.0,30.71,19750,13148,0
690,20000.0,24.55,1200,5027,1
725,64000.0,7.61,25000,42030,1
690,41600.0,10.76,7425,33610,1
690,93000.0,7.65,10000,18228,1
780,108500.0,13.0,8000,9560,1
675,35000.0,22.05,10650,666,0
660,41000.0,13.79,8000,4407,1
660,30000.0,10.6,9000,8000,0
695,75000.0,20.51,15000,15326,1
670,61000.0,16.49,13800,11673,1
695,52000.0,13.78,10000,7860,1
685,48000.0,23.2,8500,18462,1
690,25000.0,24.58,8000,17121,1
680,55000.0,15.1,4000,2093,1
665,135000.0,17.8,15000,22179,1
670,145000.0,4.27,32000,11875,1
710,59000.0,25.79,18225,20123,0
690,56000.0,24.09,14525,9332,1
685,30000.0,17.0,10000,16114,1
680,180000.0,18.83,25000,29423,1
700,21084.21,21.83,9225,13665,0
695,84000.0,22.99,12000,31151,1
675,500000.0,10.29,35000,41543,1
690,130000.0,11.07,16000,14982,1
690,59000.0,4.65,6000,11338,1
660,64858.0,8.42,14000,2807,1
700,87000.0,18.32,25000,32969,1
675,69000.0,22.85,17250,30691,1
690,84343.0,29.17,20000,9715,1
660,45000.0,18.83,12500,12777,1
690,81000.0,16.52,16000,11609,1
685,100000.0,17.03,10000,10649,1
700,38000.0,22.68,18950,15112,0
730,95000.0,12.17,8400,0,1
670,63000.0,23.81,14000,7046,1
705,37400.0,12.93,3200,5377,1
675,60000.0,11.12,20000,18027,1
660,60000.0,10.74,5000,6060,1
725,85000.0,25.24,14500,11849,1
765,27000.0,17.29,8550,1721,1
670,185000.0,5.92,18000,13292,1
700,70000.0,15.43,19925,5531,1
660,93000.0,18.41,15000,7821,1
725,225000.0,16.27,8500,36449,1
665,50000.0,19.81,14950,11656,1
740,110000.0,8.8,40000,21433,0
675,125000.0,17.27,28000,8300,0
695,75000.0,18.74,14000,17980,1
665,83000.0,13.65,7000,35534,1
660,84000.0,19.21,14000,21361,0
665,68000.0,19.11,9000,6411,1
695,40000.0,28.53,3200,2277,1
680,18000.0,34.07,3500,6310,1
665,73600.0,8.82,12000,14782,1
695,65000.0,13.16,6000,2357,1
680,43000.0,17.95,19250,15177,1
715,45000.0,8.21,9000,7253,1
730,21000.0,39.14,5600,20306,1
765,65000.0,27.77,17000,13381,1
715,425000.0,9.15,35000,47507,1
695,50000.0,14.33,7000,14316,1
660,45000.0,16.03,8000,1263,1
675,55000.0,16.67,7000,8940,1
670,145000.0,19.41,20000,6123,0
695,270000.0,23.47,24000,234300,1
730,102000.0,15.66,27000,26065,1
715,43000.0,8.48,8000,5417,1
670,204000.0,10.19,30000,7171,1
670,100000.0,10.85,10000,2981,0
670,92000.0,14.39,27000,40316,1
760,35000.0,22.57,17500,5335,1
690,69850.0,11.94,23700,7761,0
735,104000.0,17.31,11525,11950,1
665,45000.0,21.55,10000,11878,1
675,42000.0,24.54,5000,14753,0
665,67000.0,28.6,13600,5276,0
690,85000.0,2.08,13950,5538,1
675,99900.0,12.61,13000,10838,1
675,129000.0,4.34,15000,14010,1
675,36000.0,32.57,12000,13614,1
725,17280.0,26.67,1600,6000,1
690,34000.0,19.2,11850,323,1
680,68000.0,19.89,22125,5246,1
670,60900.0,23.29,15000,23323,1
685,63300.0,38.84,20000,24292,1
670,42500.0,32.0,12750,4434,0
680,150000.0,9.36,18000,160712,1
715,15000.0,16.16,2500,689,0
670,64000.0,13.59,14000,2922,1
700,35000.0,30.38,10000,4092,0
665,28880.0,10.76,4250,4478,1
710,72500.0,26.22,8000,12783,1
670,83000.0,17.73,17500,18477,1
675,72000.0,12.25,2800,11095,1
690,131000.0,20.18,33000,73776,1
725,63000.0,23.16,20000,9340,1
735,68000.0,21.88,7500,5266,1
690,70000.0,27.33,20000,14586,0
685,15000.0,13.2,6600,5976,1
680,24252.8,17.47,4200,1242,1
680,37000.0,24.49,15000,2004,1
660,60000.0,3.72,12000,4828,1
670,45300.0,29.75,10000,15628,1
715,100000.0,18.71,17350,8364,0
675,130000.0,17.21,12000,24870,1
670,45000.0,23.01,13475,14060,0
670,90000.0,19.37,1000,26736,1
675,53050.0,35.81,21100,31845,0
690,130000.0,23.57,25000,38818,1
680,124000.0,5.95,8400,17551,0
680,200000.0,8.61,25000,32097,1
680,57000.0,12.82,18000,828,1
660,48000.0,18.35,10000,8680,1
665,52000.0,20.42,7000,6493,1
675,78000.0,16.57,11850,13110,1
745,99000.0,28.58,22400,27810,1
725,168000.0,19.25,27175,39594,1
665,45500.0,11.53,14000,15116,1
670,90000.0,13.23,6000,7108,1
675,138000.0,15.5,21650,16341,1
660,82000.0,18.18,12000,5393,0
705,103000.0,17.88,16000,6765,1
695,65000.0,6.39,14000,9615,1
725,89599.13,14.57,15000,12200,1
670,33000.0,20.55,4000,15958,1
705,40000.0,8.97,10500,7514,1
680,90000.0,6.11,10000,13955,1
675,48000.0,13.1,8000,7480,1
705,80000.0,10.83,28000,1327,0
670,35000.0,23.39,8000,6984,1
780,300000.0,13.41,27550,31539,1
665,137000.0,26.84,35000,61701,0
680,70000.0,11.59,12000,10519,1
685,47840.0,12.12,5500,4863,1
665,70000.0,31.84,29100,26632,0
745,85000.0,27.04,18000,23337,1
660,90000.0,4.03,5500,5029,1
675,55000.0,2.23,10000,744,0
690,60000.0,11.51,24000,18893,1
665,31000.0,21.76,13000,9173,1
720,9000.0,32.63,2000,6812,1
665,65000.0,23.52,14400,7327,1
665,117000.0,14.15,35000,31717,1
815,87100.0,6.57,15000,2235,1
685,79000.0,22.86,5000,34659,1
670,56000.0,3.58,25000,2206,1
665,65000.0,22.51,23000,10986,0
685,86300.0,17.27,11000,10814,1
685,42000.0,16.11,13000,5845,1
670,30000.0,23.0,6400,6323,1
675,88000.0,27.68,27800,23749,1
705,200001.0,11.84,25000,135634,1
720,112000.0,9.83,20000,28769,1
660,35000.0,25.27,13250,14123,1
680,43680.0,21.29,5000,5111,1
675,46128.0,36.87,19300,30747,1
725,28000.0,23.66,7350,7027,1
750,180000.0,27.49,26400,3343,1
745,100000.0,1.42,24000,2212,0
695,65000.0,15.1,5200,5084,1
665,67848.0,24.02,22000,13592,1
685,65000.0,17.39,22900,17185,1
675,75000.0,21.34,17600,4657,1
695,46000.0,14.19,10000,11323,1
705,125000.0,7.21,4800,3124,1
670,660000.0,2.53,15000,2916,0
660,125000.0,13.94,12000,25126,1
695,97000.0,14.75,10800,27554,1
700,48000.0,35.35,20000,25819,1
660,90000.0,8.53,10000,3887,1
680,23543.0,12.08,8400,8311,1
680,68000.0,26.89,10000,10538,1
725,48000.0,19.33,6000,3073,1
725,59900.0,15.17,13200,11309,1
700,43000.0,25.59,14000,16683,0
710,39916.0,36.89,5200,9778,1
660,48000.0,7.93,24000,10172,1
675,32000.0,15.87,5650,1595,0
660,58000.0,21.79,8000,24854,1
670,29000.0,8.65,5000,6601,1
660,20208.0,26.25,6925,2179,1
675,96000.0,16.08,18000,16112,1
715,181000.0,11.95,28000,28482,1
755,100000.0,11.21,15000,89706,1
670,240000.0,8.39,30800,14600,1
710,200000.0,19.57,20000,22515,1
680,40000.0,32.91,18000,1055,0
660,40000.0,21.42,9600,3099,1
665,61000.0,2.44,3600,3647,1
695,33860.23,27.76,10250,10768,1
705,180000.0,8.63,28000,15616,1
720,75000.0,23.65,11750,9885,1
695,75000.0,20.15,20475,13403,1
675,80000.0,28.11,25000,17100,0
720,42000.0,28.89,6725,23890,1
740,25000.0,30.34,3500,3916,1
665,65000.0,31.09,23400,33030,0
690,92700.0,24.63,25000,13508,1
720,152000.0,28.34,25250,21502,1
715,20136.0,9.77,9250,7730,1
695,21600.0,36.11,2000,6969,1
680,70000.0,32.72,4800,11190,0
780,62000.0,39.35,20000,2826,0
740,171000.0,11.23,25000,23714,1
665,80000.0,9.15,15000,6708,1
660,70000.0,18.65,9000,13814,1
725,40000.0,12.06,2500,6252,1
700,80000.0,17.64,6000,17581,1
670,50000.0,10.2,8000,3684,1
695,131040.0,17.05,35000,35134,1
705,150000.0,14.89,10000,3318,1
695,106000.0,39.73,35000,27327,1
700,100000.0,33.84,35000,28643,1
735,78000.0,13.98,14000,8229,1
670,80000.0,6.32,10000,7131,1
705,30000.0,20.97,13800,19384,1
690,25000.0,17.05,6300,6341,1
690,70000.0,10.62,30000,19245,0
675,24000.0,26.15,3000,5016,1
710,39000.0,3.51,6800,3748,1
740,90000.0,8.15,6000,5773,1
690,73284.0,16.3,15000,14753,1
690,50000.0,31.36,12750,3939,1
725,104000.0,27.68,26000,26354,0
660,38000.0,16.24,7000,2784,1
690,74000.0,7.43,20000,1195,0
690,200000.0,14.87,35000,26918,1
705,75000.0,29.33,15000,65,1
775,80000.0,15.98,30000,10331,1
685,65000.0,16.41,6500,1787,1
775,118000.0,25.99,25000,15098,1
685,61000.0,32.39,16000,22422,1
670,35000.0,19.34,11200,7713,0
670,75000.0,13.58,5000,1522,0
670,42000.0,6.55,10000,8510,1
680,62000.0,9.85,16000,8524,1
685,45000.0,19.6,6400,3347,0
665,38000.0,35.5,1000,14815,1
700,95000.0,8.21,30700,4776,1
700,82000.0,29.6,10000,38728,1
675,68000.0,14.31,12000,7884,1
680,55000.0,34.76,12000,10224,1
695,35500.0,8.96,10000,9777,1
670,100000.0,18.2,11050,3398,1
730,110000.0,20.36,9850,33933,1
715,50000.0,24.0,16000,29693,1
730,35000.0,17.49,11200,7192,1
695,123000.0,10.12,15000,9812,1
705,92000.0,8.69,10000,11147,1
680,75000.0,11.57,10000,9557,1
665,80000.0,15.57,12025,1851,0
705,42000.0,11.51,4000,3054,1
680,130000.0,25.95,35000,35404,0
690,45000.0,19.92,8000,4683,1
765,90000.0,11.47,13075,80,1
670,51000.0,9.22,10000,1814,1
715,68000.0,12.81,8400,10477,1
715,156000.0,17.02,25000,38887,1
685,42000.0,16.83,3200,4652,1
770,80000.0,11.49,12500,3180,1
685,90000.0,21.26,20000,15857,0
740,73000.0,15.86,11200,6010,1
675,33000.0,10.36,6300,6147,1
660,70000.0,16.03,6000,8425,1
665,130000.0,21.97,28275,44195,1
695,40000.0,16.2,8400,9860,1
700,96000.0,14.11,2500,25858,1
720,94000.0,31.57,21000,21311,1
700,42000.0,21.74,10000,17730,1
725,50000.0,13.1,11200,21560,1
670,40000.0,14.61,10000,9757,1
715,130000.0,13.5,20000,29759,1
685,37000.0,14.17,12000,7517,1
670,60000.0,30.04,13000,12520,1
665,110000.0,7.63,10000,6028,0
695,33600.0,19.08,8400,6134,1
670,165000.0,15.93,35000,33138,0
660,50362.0,22.02,10000,14451,1
700,90000.0,18.83,24000,34151,1
710,151000.0,13.6,26000,17957,1
760,29000.0,2.07,4525,777,1
695,240000.0,4.0,24000,25241,1
665,110000.0,11.29,10875,47933,1
675,86000.0,10.51,18000,16352,1
695,40000.0,19.6,16750,22350,1
665,215000.0,3.2,35000,14518,1
690,115000.0,8.91,20000,25989,1
675,88000.0,9.75,6025,4339,1
675,52000.0,26.03,9375,3040,0
